amount,date,price,tid,type,satoshi,volume
0.00069591,1679177879,143695.97000001,14905585,buy,69591,99.99946248270697
0.0073,1679177898,143695.97000001,14905586,sell,730000,1048.980581000073
0.001,1679177898,143695.97,14905587,sell,100000,143.69597000000002
0.0146,1679177898,143652.19221161,14905588,sell,1460000,2097.322006289506
0.0142,1679177898,143652.11225145,14905589,sell,1420000,2039.85999397059
0.0414,1679177898,143622.32615913,14905590,sell,4140000,5945.964302987982
0.0364,1679177898,143622.25111751,14905591,sell,3640000,5227.849940677364
0.00873,1679177898,143621.71213432,14905592,sell,873000,1253.8175469326136
0.00883,1679177898,143621.61274131,14905593,sell,882999,1268.1788405057673
0.00921,1679177898,143621.41168042,14905594,sell,921000,1322.753201576668
0.00912,1679177898,143621.37907302,14905595,sell,912000,1309.8269771459425
0.00787,1679177898,143621.27659262,14905596,sell,787000,1130.2994467839194
0.00777,1679177898,143621.12363172,14905597,sell,777000,1115.9361306184644
0.00825,1679177898,143621.04601172,14905598,sell,825000,1184.87362959669
0.00941,1679177898,143620.66636842,14905599,sell,941000,1351.4704705268323
0.18828834,1679177898,143618.77301186,14905600,sell,18828834,27041.74036323992
0.18828872,1679177898,143618.48408622,14905601,sell,18828872,27041.740536934733
0.00921,1679177898,143591.30228516,14905602,sell,921000,1322.4758940463234
0.00883,1679177898,143577.66765421,14905603,sell,882999,1267.7908053866743
0.00845,1679177898,143575.6049961,14905604,sell,844999,1213.213862217045
0.00902,1679177898,143575.5933506,14905605,sell,902000,1295.0518520224118
0.00921,1679177898,143575.2882385,14905606,sell,921000,1322.328404676585
0.00835,1679177898,143575.230011,14905607,sell,835000,1198.8531705918501
0.00902,1679177898,143574.3565985,14905608,sell,902000,1295.04069651847
0.00883,1679177898,143574.0235372,14905609,sell,882999,1267.7586278334759
0.20033697,1679177898,143572,14905610,sell,20033697,28762.779456840002
0.00036533,1679177913,143595.17731319,14905611,sell,36533,52.459626127827704
0.0008,1679177965,143632.12441621,14905612,sell,80000,114.905699532968
0.0008,1679177965,143619.97760544,14905613,sell,80000,114.89598208435201
0.00034636,1679177965,143619.9774023,14905614,sell,34636,49.74421537306062
0.00035062,1679178017,143599.79507585,14905615,sell,35062,50.34896014949453
3.376e-05,1679178047,143645.61984747,14905616,buy,3376,4.849476126050587
2.891e-05,1679178115,143639.80333019,14905617,sell,2891,4.152626714275793
0.00024563,1679178141,143565.38681,14905618,sell,24563,35.2639659621403
0.00010563,1679178204,143562.42,14905619,sell,10563,15.164498424600001
0.01,1679178304,143578,14905620,buy,1000000,1435.78
0.0022264,1679178379,143562.42,14905621,sell,222640,319.627371888
0.00198616,1679178384,143562.42,14905622,sell,198615,285.1379361072
